epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,1.3893491178750992,0.25,1.386831134557724,0.25,0.001,5.134093523025513
2,1.385811373591423,0.25,1.3825339674949646,0.25,0.001,5.04651951789856
